4176	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	81-005	Gdynia	ul. Kcynska 27	0	1	69.60	NULL	sredni	NULL	2900	PLN	01.08.2019	04:30:00	03.08.2019	16:00:00
4176	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	92-308	£odŸ	ul. Widzewska 22	0	1	69.60	NULL	sredni	NULL	2900	PLN	01.08.2019	04:30:00	03.08.2019	16:00:00
4178	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	38-402	Krosno	ul.Wojska Polskiego 18	0	1	69.60	NULL	sredni	NULL	1400	PLN	02.08.2019	15:30:00	03.08.2019	16:00:00
4178	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	38-500	Sanok	ul. Stapinskiego 2	0	1	92.80	NULL	sredni	NULL	1400	PLN	02.08.2019	15:30:00	03.08.2019	16:00:00
4180	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	44-100	Gliwice	ul. £abedzka 26	0	1	78.30	NULL	sredni	NULL	2150	PLN	01.08.2019	05:30:00	03.08.2019	16:00:00
4180	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	58-310	Szczawno Zdroj	ul. £¹czynskiego 44	0	1	46.40	NULL	sredni	NULL	2150	PLN	01.08.2019	05:30:00	03.08.2019	16:00:00
4181	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	62-080	TarnowoPodgorne	ul. Przemyslowa 2	12	1	8448.00	NULL	sredni	NULL	1400	PLN	04.08.2019	10:30:00	05.08.2019	12:00:00
4205	PL	30-740	Krakow	Walstead - CLK	DE	90471	Nurnberg	Poststraße 2, BZ90 GroßASt, Tor 1-3	5	4	4895.14	NULL	Duzy	NULL	850	EUR	04.08.2019	14:00:00	05.08.2019	12:00:00
4213	PL	30-740	Krakow	Walstead - CLK	RU	141700	Gorod Dolgoprudnyi	Promyshlennyi proezd, d. 10	29	1	19150.65	NULL	Duzy	NULL	1850	EUR	08.08.2019	08:00:00	12.08.2019	10:00:00
4269	PL	30-733	Krakow	Walstead - Podgorze - P1	PL	06-400	Ciechanow	ul. Niechodzka 25	12	1	6408.00	NULL	sredni	NULL	1500	PLN	01.08.2019	16:30:00	02.08.2019	06:00:00
4290	PL	27-200	Starachowice	Walstead Starachowice - P4	FR	94380	Bonneuil Sur Marne	16 Route de Stains	1	0	722.40	NULL	Maly	NULL	650	EUR	01.08.2019	15:00:00	02.08.2019	07:30:00
4310	PL	27-200	Starachowice	Walstead Starachowice - P4	NL	1704 SB	Heerhugowaard	Newtonstraat 46	16	2	10143.47	NULL	Duzy	NULL	1450	EUR	06.08.2019	10:30:00	08.08.2019	10:00:00
4313	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	25-323	Kielce	ul. Solidarnosci 24	0	1	NULL	NULL	Maly	NULL	280	PLN	03.08.2019	13:30:00	03.08.2019	18:00:00
4315	PL	30-740	Krakow	Walstead - CLK	PL	05-080	Izabelin-Mosciska	ul. Bakaliowa 3	2	1	1276.24	NULL	Duzy	NULL	1300	PLN	04.08.2019	01:30:00	05.08.2019	14:30:00
4317	PL	30-740	Krakow	Walstead - CLK	PL	03-117	Warszawa	Stagniewna 2c	0	1	212.00	NULL	sredni	NULL	1350	PLN	04.08.2019	16:30:00	05.08.2019	12:00:00
4318	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	05-080	Izabelin-Mosciska	ul. Bakaliowa 3	3	1	2275.00	NULL	Duzy	NULL	1000	PLN	03.08.2019	22:00:00	04.08.2019	07:00:00
4319	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	03-117	Warszawa	ul. St¹giewna 2C	0	2	281.00	NULL	Duzy	NULL	1050	PLN	03.08.2019	23:30:00	04.08.2019	08:00:00
4319	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	03-236	Warszawa	ul. Annopol 19	9	1	6121.24	NULL	Duzy	NULL	1050	PLN	03.08.2019	23:30:00	05.08.2019	08:00:00
4321	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	03-215	Warszawa	ul. Jagiellonska 88	1	1	875.60	NULL	Duzy	NULL	1050	PLN	04.08.2019	05:00:00	05.08.2019	08:00:00
4336	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	5870	Blonie PAss		26	0	17472.00	NULL	Duzy	NULL	850	PLN	04.08.2019	23:30:00	05.08.2019	10:00:00
4346	PL	30-740	Krakow	Walstead - CLK	HU	2225	Üllõ	Zsároka út 8.	30	0	22680.00	415	Duzy	NULL	680	EUR	09.08.2019	12:30:00	12.08.2019	09:00:00
4368	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	41-203	Sosnowiec-Milowice	Ul. Baczynskiego 25A	13	2	6690.53	NULL	sredni	NULL	850	PLN	08.08.2019	04:30:00	08.08.2019	14:00:00
4379	PL	30-740	Krakow	Walstead - CLK	PL	03-236	Warszawa	Annopol 19	0	1	14.40	NULL	Duzy	NULL	1200	PLN	05.08.2019	22:30:00	06.08.2019	06:00:00
4385	PL	30-740	Krakow	Walstead - CLK	PL	05-850	Ozarow Mazowiecki	ul. Poznanska 251/Oltarzew	0	1	241.22	NULL	sredni	NULL	1250	PLN	06.08.2019	00:30:00	07.08.2019	08:00:00
4391	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	01-117	Warszawa	ul. Annopol 19	0	1	85.36	NULL	sredni	NULL	800	PLN	06.08.2019	04:30:00	06.08.2019	08:00:00
4406	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	05-800	Pruszkow	ul. Przejazdowa 58	25	2	15199.70	NULL	Duzy	NULL	850	PLN	07.08.2019	02:00:00	07.08.2019	09:00:00
4408	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	5870	Blonie PAss		33	0	22176.00	NULL	Duzy	NULL	950	PLN	06.08.2019	18:00:00	07.08.2019	09:00:00
4412	PL	30-740	Krakow	Walstead - CLK	PL	42-200	Czestochowa	ul. 3 maja 12	0	18	1732.84	NULL	sredni	NULL	750	PLN	07.08.2019	02:00:00	07.08.2019	05:30:00
4413	PL	30-733	Krakow	Walstead - Podgorze - P1	DE	90471	Nurnberg	Beuthener. Str. 43	1	2	1030.30	843	Duzy	NULL	850	EUR	07.08.2019	13:30:00	08.08.2019	12:00:00
4429	PL	27-200	Starachowice	Walstead Starachowice - P4	NL	5048 AB	Tilburg	Kraaivenstraat 19	6	3	5677.50	1231	Duzy	NULL	2450	EUR	11.08.2019	08:30:00	12.08.2019	10:00:00
4434	PL	30-740	Krakow	Walstead - CLK	PL	42-677	Szalsza	ul. Ziemiecicka 20	2	1	1161.00	NULL	sredni	NULL	750	PLN	12.08.2019	03:30:00	12.08.2019	06:00:00
